Date,FB followers,IGEN followers,IGFR followers,TTEN followers,TTFR followers,XEN followers,XFR followers
December 31 2024,971559,210921,40346,479300,76711,167692,13998
January 31 2025,970909,211643,40397,478866,76691,167316,13940
February 28 2025,970457,213083,40572,478475,76949,167093,13880
March 31 2025,970207,215065,40715,481805,76858,166976,13833
April 30 2025,970312,216996,40961,489955,76955,166725,13795
May 31 2025,970378,218420,40991,484302,76766,166011,13731
June 30 2025,970080,219992,41468,483927,76690,165962,13726
July 31 2025,969538,222135,41857,484320,76972,165864,13700
August 31 2025,969323,224820,41939,497715,77240,165740,13675
September 30 2025,969672,225667,41835,497506,77983,165405,13640
October 31 2025,967926,226129,41891,498278,77905,164897,13584
November 30 2025,968820,229002,42631,500708,79117,162698,13392
December 31 2025,968506,232543,42781,503137,79518,162339,13349
January 31 2026,967948,233124,42921,503867,79827,162105,13322
